date,category,rank,asin,title,price,rating,review_count
2026-08-24,Vests,61,B0FBGNP2TJ,MYLOFIT Tummy Tucker Vest for Men’s Slimming Body Abs Abdomen Slim Stretchable Tummy Control Vest Shapewear Undershirt Gym Workout,₹379.00,3.6 out of 5 stars,43
2026-08-24,Vests,62,B0H89RD88J,"GLOWSTITCH Premium Men’s Cotton Blend Vest – Sleeveless Gym Tank Top & Undershirt, Breathable, Stretchable & Skin-Friendly Ribbed Innerwear for Men – Perfect for Workout, Layering",₹349.00,1.0 out of 5 stars,1
2026-08-24,Vests,63,B0GMWL5WPD,"R LON Men's Cotton Ribbed Regular Fit Solid Round Neck Vest | Anti Bacterial Finish, Racer Back Baniyan for Man, Comfort Man's Inner,Sando",₹179.00,3.5 out of 5 stars,11
2026-08-24,Vests,64,B08V99R94H,"DAMENSCH Neo-Skin Bamboo Blend, Round Neck, Anti-Bacterial, Thermoregulating, Shape Retaining Baniyan for Man, Soft and Sustainable Vest",₹879.00,4.2 out of 5 stars,"2,429"
2026-08-24,Vests,65,B0F8V1LCCK,SANE ORIGINALS Gym Sandos for Men || Sando Tank Top || Combo Pack of 2,₹473.00,4.0 out of 5 stars,104
2026-08-24,Vests,66,B07X55T86Z,Levi's 013 Classic Vest for Men | 100% Rib Cotton | Breathable Fabric | Round Neck Sleeveless Men's Vest | Soft & Durable | Freedom of Movement | Tagless & Zero Irritation Comfort | Pack of 1,₹259.00,4.2 out of 5 stars,843
2026-08-24,Vests,67,B07RQTZ7RH,VIP Men Regular Fit Vest,₹549.00,4.2 out of 5 stars,"3,663"
2026-08-24,Vests,68,B0721XXKKQ,"LUX VENUS Men's 100% Cotton Sleeveless Vests | Regular Fit | Round Neck|Anti-Bacterial Finish & Tag-Free Comfort | White, Pack of 6",₹523.00,4.0 out of 5 stars,"16,066"
2026-08-24,Vests,69,B0DR5HSWD1,THE BLAZZE Vest for Men Sleeveless Tshirt for Men Breathable for Men Gym Vest for Men Lightweight Gym Men Vest Sleeveless T Shirts for Men Comfortable Gym Wear for Men Vests for Men L2596,₹283.00,3.8 out of 5 stars,66
2026-08-24,Vests,70,B0CYSS3521,"Pepe Jeans Men's Solid 100% Cotton Regular Fit Gym Vest | Soft Breathable Athleisure Tank Top for Gym, Workout & Daily Innerwear Use | Round Neck | Sleeveless | Comfortable Everyday Casual Wear",₹348.00,4.0 out of 5 stars,76
2026-08-24,Vests,71,B0CYQ6N9YG,"Gulshan Tummy Tucker Vest for Men Tummy Control Undershirt Abs Abdomen Slim Stretchable Vest Compression Tank Top, Slimming Body Shaper Vest for Gym, Workout (Men Vest 02)",₹473.00,3.7 out of 5 stars,81
2026-08-24,Vests,72,B0F26PFRKN,FF Slim Fit Tummy Tucker Vest for Men Gynecomastia Compression Shirts Belly Slimmer for Men Shapewear Stretchable Undershirt Vest – Pack of 2 – Black & White,₹799.00,4.1 out of 5 stars,164
2026-08-24,Vests,73,B0FH24VHC9,WINRKERY Men's Compression Vest Gynecomastia Shirt Tummy Control Tank Top Undershirt Seamless Shapewear Instant Slimming,₹380.00,4.0 out of 5 stars,55
2026-08-24,Vests,74,B0DZ6QG3XR,Wearslim Premium Men's Super Combed Cotton Elastene Stretch Fabric Tummy Tucker Vest for Man with Extended Length for Easy Tuck | Gynecomastia Compression Body Shaper Vests for Men,₹498.00,4.0 out of 5 stars,285
2026-08-24,Vests,75,B09TD831M6,Wearslim® Men’s Slimming Body Shaper Vest Shirt | Abs Abdomen Slim Stretchable Tummy Tucker Vest,₹417.00,3.4 out of 5 stars,"1,344"
2026-08-24,Vests,77,B0GLZT88JD,"West Gate Clothing Cotton Printed Plus Size Vest for Men | Round Neck, Regular Fit, Sleeveless Plus Size | Men's Tank Top | 3XL, 4XL, 5XL | Perfect for Workouts Gym | Grey | Combo Pack of 2",₹474.00,4.7 out of 5 stars,12
2026-08-24,Vests,78,B0DB62VM44,"COSCO FOUJI 100% Combed Cotton Vest for Man Sleeveless Multicolor Pack of 5 | Regular Fit, Deep Round Neck, Large Armholes, Tagless, Breathable, Stretchable, Assorted Colors May Vary, Cotton Baniyan",₹445.00,3.9 out of 5 stars,204
2026-08-24,Vests,79,B01N6WR11F,"Rupa Jon Sleeveless Vest for Men, 100% Cotton Material, Round Neck, Pack of 3",₹220.00,4.0 out of 5 stars,"16,215"
2026-08-24,Vests,80,B01N6WNQGZ,Rupa Jon White Round Neck Sleeveless Men Vest | 100% Cotton Fabric | Breathable | Ultralight Vest | Pack of 10,₹881.00,4.1 out of 5 stars,"4,490"
2026-08-24,Briefs,1,B014213DS8,Jockey 8037 Men Super Combed Cotton Solid Brief with Ultrasoft Waistband_(Pack of 2),₹398.00,4.3 out of 5 stars,"14,882"
2026-08-24,Briefs,2,B0CJFQWSYZ,Jockey 8009 Men Super Combed Cotton Solid Long Trunk Boxer Brief(Pack of 3),₹795.00,4.2 out of 5 stars,"4,174"
2026-08-24,Briefs,3,B07X63HHPH,Levi's 010 Classic Boxer Briefs for Men | 100% Pure Cotton | Breathable | Branded Inner Elastic | Anti-Roll Waistband | Supportive Gusset | Functional Fly | No Ride-Up Long Length Fit | Pack of 2,₹433.00,4.1 out of 5 stars,"12,552"
2026-08-24,Briefs,4,B07X42YHLQ,Levi's 009 Neo Brief for Men | 100% Pure Cotton | Solid Men's Underwear | Breathable | Branded Outer Elastic Anti-Roll Waistband | Extra Supportive Gusset | Dual Layer 3D Pouch | Tagless | Pack of 2,₹306.00,3.9 out of 5 stars,"26,858"
2026-08-24,Briefs,5,B09MFLHSVJ,Jockey 8035 Men Super Combed Cotton Solid Brief with Ultrasoft Concealed Waistband_(Pack of 3),₹528.00,4.3 out of 5 stars,"15,585"
2026-08-24,Briefs,6,B07X2YKBZK,Levi's 011 Comfort Brief for Men | 100% Pure Cotton | Breathable | Durable | Anti-Roll Waistband | Extra Supportive Gusset | Dual Layer 3D Pouch | Tagless & Zero Irritation Comfort | Pack of 3,₹400.00,3.9 out of 5 stars,"9,176"
2026-08-24,Briefs,7,B0H1MLXYXV,SWAGR 5 Pack Men's Super Combed Cotton Underwear Briefs | Classic TruComfort Fit | Powered by ZincShield Anti-Bacterial Tech | Aerflo Breathability | 4-Way FlexStretch | SOXCO Style SG03,₹497.17,4.2 out of 5 stars,162
2026-08-24,Briefs,8,B071964C24,Jockey IC27 Men's Tactel Microfiber Elastane Stretch Solid Brief with Moisture Move Treatment,₹449.00,4.5 out of 5 stars,"8,442"
2026-08-24,Briefs,9,B0BSHGZX89,"Boldfit Gym Supporter for Men Sports Underwear for Workout in Gym Stretchable Cotton Supporter for Gym Workout Quick Dry, Moisture Wicking Supporter for Cricket, Gym, Running Black",₹332.10,4.0 out of 5 stars,"3,204"
2026-08-24,Briefs,10,B07X561SPF,Levi's 001 Classic Boxer Brief for Men | 100% Pure Cotton | Solid | Mid-Rise Men's Underwear | Anti-Roll Waistband | Durable Comfort with Extra Supportive Gusset | Functional Fly | Pack of 2,₹434.00,3.9 out of 5 stars,"5,085"
